Nome;Data de Nascimento;Idade;Estado Civil;Número de Filhos;RG;CPF;Telefone;Aposentadoria;Invalidez;Religião;Batizado;Moradia;Condições;Número de Cômodos;Banheiro;Luz Elétrica;Água Encanada;Esgoto;Acesso a Benefícios Sociais;Observação do Agente Pastoral
Daise Lapa;31/03/1963;59;Solteiro;0;075034694;894.305.307-04;99497-8950;Não;Não;Católico;Sim;Própria;Regular;5;Sim;Sim;Sim;Sim;Não;Nenhuma
Ana Paula Ribeiro;16/01/1991;31;Solteiro;3;247699630;135.028.377-08;97093-9554;Não;Não;Sem religião;Não;Alugada;Boa;1;Sim;Sim;Sim;Sim;Sim;Necessita acompanhamento
Ana Paula dos Santos Leite;05/02/1973;50;Solteiro;3;097894695;034.446.387-79;96982-5908;Não;Não;Católico;Sim;Própria;Boa;7;Sim;Sim;Sim;Sim;Sim;Nenhuma
Aluê Silva;01/06/1958;64;Viúvo;2;043180520;536.453.757-91;97738-7919;Não;Não;Católico;Sim;Alugada;Boa;5;Sim;Sim;Sim;Sim;Sim;Nenhuma
Rosalda Vieria dos Santos Sabio;20/03/1957;66;Casado;3;301908398;842.642.507-06;97029-5097;Não;Não;Católico;Sim;Própria;Boa;4;Sim;Sim;Sim;Sim;Sim;Necessita acompanhamento
Cínhya Cristina Texeira Roque;21/04/1990;32;Solteiro;2;212542740;137.389.467-99;96979-7693;Não;Não;Católico;Sim;Própria;Precária;6;Sim;Sim;Sim;Sim;Sim;Necessita acompanhamento
Priscila Silva do Carmo;17/02/1988;35;Solteiro;1;222895658;134.074.777-40;99245-7522;Não;Não;Evangélica;Não;Alugada;Boa;3;Sim;Sim;Sim;Sim;Sim;Necessita acompanhamento
Catarina Pinto;23/10/1976;47;Casado;5;723159656;714.206.985-67;9894-6641;Sim;Não;Católico;Sim;Própria;Boa;4;Sim;Sim;Sim;Sim;Sim;Nenhuma
Breno da Paz;11/03/1994;30;Solteiro;4;113474025;621.084.975-01;87413-3513;Não;Sim;Evangélica;Sim;Cedida;Regular;1;Sim;Sim;Sim;Sim;Sim;Em situação vulnerável
Ian Almeida;26/01/1952;72;Solteiro;1;602504857;093.645.782-10;92558-1416;Não;Sim;Sem religião;Não;Cedida;Precária;7;Sim;Sim;Sim;Sim;Não;Necessita acompanhamento
Nathan da Mata;23/06/1976;48;Casado;2;945465596;392.048.765-65;99889-7805;Não;Não;Católico;Não;Alugada;Regular;4;Sim;Sim;Não;Sim;Sim;Nenhuma
Leandro Rodrigues;28/10/1953;70;Solteiro;2;836351881;709.643.185-39;9778-7527;Sim;Não;Espírita;Sim;Alugada;Boa;1;Sim;Sim;Sim;Sim;Sim;Nenhuma
Maria Luiza Mendes;11/04/1977;47;Solteiro;0;962397882;087.392.654-47;92958-6547;Não;Não;Católico;Sim;Cedida;Boa;4;Sim;Sim;Sim;Sim;Não;Nenhuma
Kamilly da Mota;17/05/1961;63;Solteiro;1;694480132;047.356.912-43;98567-6665;Sim;Não;Sem religião;Não;Cedida;Regular;1;Sim;Sim;Não;Sim;Não;Necessita acompanhamento
Sarah Cunha;07/11/2003;20;Solteiro;0;290407789;756.213.840-08;99389-8565;Não;Não;Católico;Não;Cedida;Boa;4;Sim;Sim;Sim;Não;Sim;Em situação vulnerável
Joana da Rosa;23/01/1993;31;Viúvo;2;475801803;183.670.925-03;99901-5820;Não;Não;Sem religião;Não;Cedida;Regular;3;Sim;Sim;Não;Não;Sim;Necessita acompanhamento
Carlos Eduardo Martins;12/02/1965;59;Solteiro;3;453257839;593.174.068-66;98734-1717;Não;Não;Espírita;Sim;Própria;Regular;2;Sim;Sim;Sim;Não;Não;Nenhuma
Arthur Cardoso;29/05/1947;77;Casado;4;998589271;968.215.304-24;94290-5956;Sim;Sim;Católico;Sim;Própria;Boa;4;Sim;Sim;Não;Não;Não;Em situação vulnerável
Heitor Ribeiro;08/03/1960;64;Viúvo;5;753121252;984.715.306-00;93816-4913;Não;Não;Espírita;Não;Própria;Regular;4;Sim;Sim;Não;Não;Não;Necessita acompanhamento
Diego Moura;17/08/1976;47;Casado;5;467296852;569.823.147-82;99787-3480;Não;Não;Evangélica;Sim;Alugada;Boa;4;Sim;Sim;Sim;Não;Sim;Necessita acompanhamento
Alexandre Castro;02/10/1997;26;Viúvo;1;683339731;297.163.405-16;97150-7637;Não;Não;Evangélica;Não;Própria;Precária;4;Sim;Sim;Sim;Não;Sim;Nenhuma
Ana Júlia Freitas;23/11/1951;72;Viúvo;2;352654843;063.479.258-00;92947-5534;Sim;Sim;Católico;Sim;Cedida;Precária;4;Sim;Sim;Sim;Não;Não;Nenhuma
Sofia Monteiro;21/04/1949;75;Casado;5;572730875;607.814.259-30;98360-8257;Sim;Não;Espírita;Não;Própria;Regular;2;Sim;Sim;Sim;Não;Não;Nenhuma
Emilly Lima;06/11/1974;49;Viúvo;3;271317151;320.654.978-74;99457-0925;Não;Não;Espírita;Não;Própria;Boa;5;Sim;Sim;Sim;Não;Não;Nenhuma
Srta. Nicole Nascimento;03/03/2000;24;Viúvo;5;193732028;713.465.902-06;99221-7665;Não;Não;Espírita;Sim;Alugada;Precária;1;Sim;Sim;Sim;Não;Sim;Nenhuma
Benjamin Pires;16/05/1953;71;Viúvo;3;247129683;460.329.587-10;98032-5615;Sim;Sim;Budista;Sim;Própria;Regular;1;Sim;Sim;Sim;Não;Não;Nenhuma
Júlia Correia;14/02/1959;65;Divorciado;3;813857009;973.650.824-29;99995-5999;Sim;Sim;Católico;Sim;Cedida;Regular;2;Sim;Sim;Sim;Não;Não;Necessita acompanhamento
Eloah Monteiro;13/10/1993;30;Casado;0;107177512;384.672.091-78;98120-4571;Não;Não;Sem religião;Sim;Alugada;Regular;3;Sim;Sim;Sim;Não;Não;Nenhuma
